instance_name,year,category,family,n_vars,n_clauses,file_size_kb
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_1.wcnf,2023,wms,rbac,,,148
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_2.wcnf,2024,wms,rbac,,,143
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_6.wcnf,2024,wms,rbac,,,159
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.9_6.wcnf,2023,wms,rbac,,,159
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.1_1.wcnf,2023,wms,rbac,,,48519
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.4_7.wcnf,2023,wms,rbac,,,64631
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_4.wcnf,2023,wms,rbac,,,45024
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_5.wcnf,2023,wms,rbac,,,52011
ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_7.wcnf,2023,wms,rbac,,,64631
Q12_OPTIONS_1.wcnf,2022,ms,q12,,,142642
Q13_OPTIONS_1.wcnf,2020,ms,q13,1108935,4480148,130472
Q22_OPTIONS_1.wcnf,2020,ms,q22,1582565,6600550,195297
Q34_OPTIONS_1.wcnf,2021,ms,q34,1157576,4751502,139178
Q6_YESNO_1.wcnf,2022,ms,other,,,149739
Rounded_BTWBNSL_Flag.BIC_TWBound_2.wcnf,2020,wms,rounded,18068,80371,2337
Rounded_BTWBNSL_Flag.BIC_TWBound_4.wcnf,2022,wms,rounded,,,1744
Rounded_BTWBNSL_Housing_TWBound_2.wcnf,2022,wms,rounded,,,637
Rounded_BTWBNSL_Voting_TWBound_3.wcnf,2020,wms,rounded,7563,31112,864
Rounded_BTWBNSL_Voting_TWBound_4.wcnf,2022,wms,rounded,,,567
Rounded_BTWBNSL_Water_1000_1_2.scores_TWBound_4.wcnf,2022,wms,rounded,,,1651
Rounded_BTWBNSL_adult15N_TWBound_2.wcnf,2022,wms,rounded,,,664
Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_3.wcnf,2020,wms,rounded,88116,634165,21601
Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_4.wcnf,2022,wms,rounded,,,12538
Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_2.wcnf,2020,wms,rounded,33386,350575,11304
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_2.wcnf,2022,wms,rounded,,,1462
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,2022,wms,rounded,,,1610
Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_4.wcnf,2022,wms,rounded,,,1619
Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_2.wcnf,2022,wms,rounded,,,968
Rounded_CorrelationClustering_Ecoli_BINARY_N220_D0.200.wcnf,2020,wms,rounded,105827,485654,13354
Rounded_CorrelationClustering_Ecoli_BINARY_N240_D0.200.wcnf,2022,wms,rounded,,,10801
Rounded_CorrelationClustering_Ecoli_BINARY_N280_D0.200.wcnf,2020,wms,rounded,151690,701108,19847
Rounded_CorrelationClustering_Ecoli_BINARY_N300_D0.200.wcnf,2020,wms,rounded,160310,740776,21029
Rounded_CorrelationClustering_Ionosphere_BINARY_N200_D0.200.wcnf,2022,wms,rounded,,,4135
Rounded_CorrelationClustering_Ionosphere_BINARY_N280_D0.200.wcnf,2022,wms,rounded,,,9984
Rounded_CorrelationClustering_Ionosphere_BINARY_N300_D0.200.wcnf,2020,wms,rounded,125540,577357,16366
Rounded_CorrelationClustering_Protein1_UNARY_N190.wcnf,2021,wms,rounded,385312,1119222,31631
Rounded_CorrelationClustering_Protein1_UNARY_N230.wcnf,2020,wms,rounded,673516,1986526,58706
Rounded_CorrelationClustering_Protein1_UNARY_N250.wcnf,2020,wms,rounded,851633,2527291,74933
Rounded_CorrelationClustering_Protein1_UNARY_N270.wcnf,2020,wms,rounded,1043467,3109863,92587
Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf,2020,wms,rounded,1258255,3760945,112973
Rounded_CorrelationClustering_Protein2_BINARY_N380.wcnf,2022,wms,rounded,,,8301
Rounded_CorrelationClustering_Protein2_BINARY_N400.wcnf,2022,wms,rounded,,,9024
Rounded_CorrelationClustering_Protein2_UNARY_N180.wcnf,2020,wms,rounded,414594,1222219,35772
Rounded_CorrelationClustering_Protein2_UNARY_N200.wcnf,2020,wms,rounded,525296,1556324,45776
Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,2020,wms,rounded,692683,2058293,60785
Rounded_CorrelationClustering_Protein2_UNARY_N240.wcnf,2020,wms,rounded,891761,2658278,78765
Rounded_CorrelationClustering_Protein2_UNARY_N260.wcnf,2021,wms,rounded,1103919,3303346,98505
Rounded_CorrelationClustering_Protein3_BINARY_N400.wcnf,2021,wms,rounded,97370,440728,12402
Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf,2020,wms,rounded,669199,1999942,59069
Rounded_CorrelationClustering_Protein3_UNARY_N240.wcnf,2020,wms,rounded,853887,2555446,75738
Rounded_CorrelationClustering_Protein3_UNARY_N260.wcnf,2021,wms,rounded,1076133,3228653,96246
Rounded_CorrelationClustering_Protein3_UNARY_N300.wcnf,2020,wms,rounded,1603946,4858293,147337
Rounded_CorrelationClustering_Protein4_BINARY_N380.wcnf,2020,wms,rounded,51270,224904,6290
Rounded_CorrelationClustering_Protein4_UNARY_N190.wcnf,2021,wms,rounded,298197,839559,23556
Rounded_CorrelationClustering_Protein4_UNARY_N210.wcnf,2020,wms,rounded,403938,1147164,32435
Rounded_CorrelationClustering_Protein4_UNARY_N230.wcnf,2022,wms,rounded,,,32057
Rounded_CorrelationClustering_Protein4_UNARY_N250.wcnf,2022,wms,rounded,,,38690
Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200.wcnf,2020,wms,rounded,412427,1916574,56697
Rounded_CorrelationClustering_Vowel_BINARY_N760_D0.200.wcnf,2020,wms,rounded,499399,2324878,71196
Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200.wcnf,2020,wms,rounded,571739,2664958,81746
SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.2.wcnf,2020,ms,sat11,68779,303473,6286
SAT11__application__fuhs__AProVE11__AProVE11-09.cnf.wcnf.3.wcnf,2020,ms,sat11,68779,303473,6286
SAT11__application__fuhs__AProVE11__AProVE11-10.cnf.wcnf.3.wcnf,2020,ms,sat11,289828,1298432,30203
SAT11__application__rintanen__SATPlanning__blocks-blocks-36-0.170-NOTKNOWN.cnf.wcnf.6.wcnf,2020,ms,sat11,693135,13130756,320190
SM_AS_TOP_buggy1.dimacs.filtered.wcnf,2020,ms,other,145899,694438,15283
SM_MAIN_MEM_buggy1.dimacs.filtered.wcnf,2020,ms,other,870975,3812147,90014
SU-100kb__simp-genos.haps.1.wcnf,2020,ms,other,5715,32159,597
SU-100kb__simp-genos.haps.12.wcnf,2020,ms,other,5506,33503,616
SU-100kb__simp-genos.haps.21.wcnf,2020,ms,other,6460,33402,619
SU-100kb__simp-genos.haps.22.wcnf,2020,ms,other,6022,24509,460
SU-100kb__simp-genos.haps.3.wcnf,2020,ms,other,6272,33707,624
SU3__simp-genos.haps.63.wcnf,2020,ms,su3,8334,209643,3986
SU3__simp-genos.haps.80.wcnf,2020,ms,su3,8107,196214,3710
SU3__simp-genos.haps.9.wcnf,2020,ms,su3,6693,109568,2054
SeanSafarpour-b15-bug-fourvec-gate-0.dimacs.seq.filtered.wcnf,2024,ms,seansafarpour,,,34856
SeanSafarpour-mem_ctrl-problem.dimacs_27.filtered.wcnf,2024,ms,seansafarpour,,,396988
SeanSafarpour-rsdecoder-problem.dimacs_37.filtered.wcnf,2024,ms,seansafarpour,,,115133
SeanSafarpour-rsdecoder-problem.dimacs_39.filtered.wcnf,2024,ms,seansafarpour,,,88706
SeanSafarpour-rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.wcnf,2023,ms,seansafarpour,,,24210
SeanSafarpour-rsdecoder4.dimacs.filtered.wcnf,2024,ms,seansafarpour,,,21201
SeanSafarpour-rsdecoder5.dimacs.filtered.wcnf,2024,ms,seansafarpour,,,21252
SeanSafarpour-wb_4m8s1.dimacs.filtered.wcnf,2024,ms,seansafarpour,,,40622
SeanSafarpour-wb_4m8s4.dimacs.filtered.wcnf,2024,ms,seansafarpour,,,40623
SingleDay_15.wcnf,2021,ms,singleday,38775,1001983,20347
SingleDay_15_weighted.wcnf,2021,wms,singleday,38775,1001983,22296
SingleDay_3.wcnf,2021,ms,singleday,14175,106732,1955
SingleDay_37.wcnf,2020,ms,singleday,102754,11150309,234546
SingleDay_37_weighted.wcnf,2021,wms,singleday,102754,11150309,267126
Subnetwork_7.wcnf,2021,ms,subnetwork,10736,104111,1904
Subnetwork_9.wcnf,2021,ms,subnetwork,12317,155443,2928
Subnetwork_9_weighted.wcnf,2021,wms,subnetwork,12317,155443,3072
SwitchingActivityMaximization_OpenRISC1200_100.wcnf,2022,wms,switching-activity,,,39051
SwitchingActivityMaximization_OpenRISC1200_150.wcnf,2022,wms,switching-activity,,,39059
SwitchingActivityMaximization_OpenRISC1200_200.wcnf,2022,wms,switching-activity,,,39068
SwitchingActivityMaximization_OpenRISC1200_66.wcnf,2022,wms,switching-activity,,,39045
SwitchingActivityMaximization_OpenRISC1200_68.wcnf,2021,wms,switching-activity,532223,1939825,42834
SwitchingActivityMaximization_OpenRISC1200_70.wcnf,2022,wms,switching-activity,,,39045
SwitchingActivityMaximization_OpenRISC1200_72.wcnf,2021,wms,switching-activity,532231,1939857,42834
SwitchingActivityMaximization_OpenRISC1200_74.wcnf,2022,wms,switching-activity,,,39046
SwitchingActivityMaximization_OpenRISC1200_76.wcnf,2021,wms,switching-activity,532239,1939889,42835
SwitchingActivityMaximization_OpenRISC1200_78.wcnf,2021,wms,switching-activity,532243,1939905,42836
SwitchingActivityMaximization_OpenRISC1200_80.wcnf,2022,wms,switching-activity,,,39047
SwitchingActivityMaximization_OpenRISC1200_90.wcnf,2022,wms,switching-activity,,,39049
TWComp_1c75_N69.wcnf,2021,ms,treewidth,91700,768235,17203
TWComp_1dj7_N73.wcnf,2020,ms,treewidth,105922,907399,20437
TWComp_1dp_N76.wcnf,2020,ms,treewidth,118369,1023459,23155
TWComp_mulsol.i.5-pp_N119.wcnf,2020,ms,treewidth,341053,3803650,96220
TWComp_myciel5_N47.wcnf,2022,ms,treewidth,,,5086
TWComp_queen5_5_N25.wcnf,2022,ms,treewidth,,,703
TWComp_queen6_6_N36.wcnf,2020,ms,treewidth,18629,114280,2349
TWComp_queen7_7_N49.wcnf,2020,ms,treewidth,39542,281536,6049
YOUTUBE.wcnf,2022,ms,youtube,,,70371
abstraction-refinement_wt-downcast-antlr.wcnf,2024,wms,abstraction-refinement,,,338481
abstraction-refinement_wt-downcast-avrora.wcnf,2024,wms,abstraction-refinement,,,244166
abstraction-refinement_wt-downcast-hsqldb.wcnf,2024,wms,abstraction-refinement,,,531839
abstraction-refinement_wt-downcast-pmd.wcnf,2024,wms,abstraction-refinement,,,497663
abstraction-refinement_wt-downcast-xalan.wcnf,2024,wms,abstraction-refinement,,,266488
abstraction-refinement_wt-polysite-avrora.wcnf,2024,wms,abstraction-refinement,,,259430
abstraction-refinement_wt-polysite-bloat.wcnf,2024,wms,abstraction-refinement,,,744891
abstraction-refinement_wt-polysite-hsqldb.wcnf,2024,wms,abstraction-refinement,,,613098
abstraction-refinement_wt-polysite-lusearch.wcnf,2024,wms,abstraction-refinement,,,133999
abstraction-refinement_wt-polysite-pmd.wcnf,2024,wms,abstraction-refinement,,,472734
abstraction-refinement_wt-polysite-xalan.wcnf,2024,wms,abstraction-refinement,,,337668
adult_train_0_CNF_5_20.wcnf,2020,wms,adult,141264,1422432,31057
adult_train_3_CNF_4_5.wcnf,2020,wms,adult,118873,1148261,24703
adult_train_3_CNF_5_1.wcnf,2020,ms,adult,141265,1422438,29669
aes-mul_8_11.wcnf,2023,ms,aes,,,27148
aes-mul_8_13.wcnf,2023,ms,aes,,,27100
aes-mul_8_14.wcnf,2023,ms,aes,,,25732
aes-mul_8_3.wcnf,2023,ms,aes,,,10929
aes-mul_8_9.wcnf,2023,ms,aes,,,16788
aes-sbox_8.wcnf,2023,ms,aes,,,357761
af-synthesis_stb_50_100_3.wcnf,2022,wms,argumentation,,,5444
af-synthesis_stb_50_120_2.wcnf,2021,wms,argumentation,19189,265712,6728
af-synthesis_stb_50_120_3.wcnf,2022,wms,argumentation,,,6110
af-synthesis_stb_50_120_5.wcnf,2021,wms,argumentation,19227,264998,6711
af-synthesis_stb_50_120_9.wcnf,2020,wms,argumentation,19056,275926,7000
af-synthesis_stb_50_140_0.wcnf,2020,wms,argumentation,20765,302170,7615
af-synthesis_stb_50_140_1.wcnf,2022,wms,argumentation,,,6851
af-synthesis_stb_50_140_7.wcnf,2020,wms,argumentation,20518,315996,8001
af-synthesis_stb_50_140_8.wcnf,2022,wms,argumentation,,,7002
af-synthesis_stb_50_160_4.wcnf,2020,wms,argumentation,22316,339034,8846
af-synthesis_stb_50_160_5.wcnf,2022,wms,argumentation,,,8044
